date,close
2019-09-01,65.40
2019-10-02,69.15
2019-11-01,72.25
2019-12-02,63.99
2020-01-01,66.94
2020-02-01,76.23
2020-03-03,89.01
2020-04-01,87.15
2020-05-02,80.72
2020-06-01,88.87
2020-07-02,86.04
2020-08-01,87.89
2020-09-01,95.98
2020-10-02,96.47
2020-11-01,96.24
2020-12-02,100.67
2021-01-01,104.60
2021-02-01,107.52
2021-03-04,106.77
2021-04-01,117.60
2021-05-02,113.31
2021-06-01,122.02
2021-07-02,126.63
2021-08-01,136.27
2021-09-01,143.53
2021-10-02,140.95
2021-11-01,137.55
2021-12-02,136.35
2022-01-01,133.47
2022-02-01,141.22
2022-03-04,146.76
2022-04-01,146.22
2022-05-02,139.92
2022-06-01,135.16
2022-07-02,141.59
2022-08-01,144.96
2022-09-01,147.12
2022-10-02,164.90
2022-11-01,178.75
2022-12-02,186.09
2023-01-01,174.00
2023-02-01,159.08
2023-03-04,164.77
2023-04-01,182.97
2023-05-02,194.62
2023-06-01,195.58
2023-07-02,208.47
2023-08-01,208.81
2023-09-01,199.60
2023-10-02,209.30
2023-11-01,210.63
2023-12-02,221.63
2024-01-01,242.05
2024-02-01,256.61
2024-03-03,254.63
2024-04-01,256.27
2024-05-02,243.54
2024-06-01,239.05
2024-07-02,226.85
2024-08-01,216.10
2024-09-01,215.31
2024-10-02,227.00
2024-11-01,230.93
2024-12-02,219.03
2025-01-01,207.94
2025-02-01,216.83
2025-03-04,207.14
2025-04-01,197.42
2025-05-02,194.02
2025-06-01,198.15
2025-07-02,226.48
2025-08-01,232.09
2025-09-01,221.91
2025-10-02,249.76
2025-11-01,255.75
2025-12-02,252.81
