date,close
2008-06-01,46.03
2008-07-02,47.04
2008-08-01,49.41
2008-09-01,49.91
2008-10-02,48.49
2008-11-01,48.54
2008-12-02,46.69
2009-01-01,43.18
2009-02-01,40.83
2009-03-04,40.74
2009-04-01,37.92
2009-05-02,38.79
2009-06-01,38.36
2009-07-02,34.23
2009-08-01,31.27
2009-09-01,28.99
2009-10-02,29.09
2009-11-01,29.79
2009-12-02,29.61
2010-01-01,32.88
2010-02-01,34.24
2010-03-04,35.32
2010-04-01,32.66
2010-05-02,33.62
2010-06-01,34.25
2010-07-02,34.63
2010-08-01,35.60
2010-09-01,34.42
2010-10-02,35.87
2010-11-01,38.44
2010-12-02,37.13
2011-01-01,36.39
2011-02-01,36.79
2011-03-04,38.88
2011-04-01,39.79
2011-05-02,41.45
2011-06-01,42.88
2011-07-02,40.10
2011-08-01,39.88
2011-09-01,40.47
2011-10-02,39.79
2011-11-01,41.91
2011-12-02,40.60
2012-01-01,43.47
2012-02-01,41.70
2012-03-03,43.46
2012-04-01,46.74
2012-05-02,45.37
2012-06-01,46.57
2012-07-02,47.17
2012-08-01,49.63
2012-09-01,51.69
2012-10-02,50.47
2012-11-01,48.43
2012-12-02,50.28
2013-01-01,51.75
2013-02-01,48.29
2013-03-04,41.60
2013-04-01,43.28
2013-05-02,45.81
2013-06-01,49.75
2013-07-02,53.15
2013-08-01,52.82
2013-09-01,53.27
2013-10-02,57.87
2013-11-01,58.19
2013-12-02,53.45
2014-01-01,58.23
2014-02-01,57.26
2014-03-04,54.76
2014-04-01,54.81
2014-05-02,51.57
2014-06-01,53.64
2014-07-02,55.49
2014-08-01,54.95
2014-09-01,53.58
2014-10-02,53.17
2014-11-01,50.48
2014-12-02,53.42
2015-01-01,49.36
2015-02-01,49.99
2015-03-04,47.60
2015-04-01,48.53
2015-05-02,48.57
2015-06-01,46.15
2015-07-02,45.74
2015-08-01,46.77
2015-09-01,44.07
2015-10-02,44.85
2015-11-01,46.36
2015-12-02,45.74
2016-01-01,44.95
2016-02-01,44.20
2016-03-03,46.17
2016-04-01,46.19
2016-05-02,47.52
2016-06-01,46.16
2016-07-02,44.49
2016-08-01,45.26
2016-09-01,47.04
2016-10-02,45.58
2016-11-01,43.83
2016-12-02,45.10
2017-01-01,44.21
2017-02-01,44.30
2017-03-04,47.73
2017-04-01,51.82
2017-05-02,50.64
2017-06-01,49.78
2017-07-02,52.91
2017-08-01,53.67
2017-09-01,57.62
2017-10-02,57.83
2017-11-01,54.72
2017-12-02,54.75
2018-01-01,59.32
2018-02-01,56.34
2018-03-04,55.40
2018-04-01,55.94
2018-05-02,53.75
2018-06-01,53.28
2018-07-02,51.63
2018-08-01,48.61
2018-09-01,47.86
2018-10-02,47.29
2018-11-01,48.04
2018-12-02,46.18
2019-01-01,47.38
2019-02-01,47.86
2019-03-04,45.51
2019-04-01,46.14
2019-05-02,45.73
2019-06-01,44.34
2019-07-02,44.51
2019-08-01,42.60
2019-09-01,44.90
2019-10-02,43.11
2019-11-01,46.60
2019-12-02,45.80
2020-01-01,46.80
2020-02-01,44.68
2020-03-03,44.19
2020-04-01,47.86
2020-05-02,46.29
2020-06-01,45.16
2020-07-02,44.85
2020-08-01,46.30
2020-09-01,49.10
2020-10-02,45.46
2020-11-01,48.91
2020-12-02,47.84
2021-01-01,51.45
2021-02-01,50.87
2021-03-04,56.06
2021-04-01,51.51
2021-05-02,50.96
2021-06-01,53.61
2021-07-02,52.66
2021-08-01,42.91
2021-09-01,44.81
2021-10-02,47.10
2021-11-01,48.40
2021-12-02,50.92
2022-01-01,49.69
2022-02-01,50.81
2022-03-04,50.36
2022-04-01,51.03
2022-05-02,48.55
2022-06-01,50.15
2022-07-02,49.82
2022-08-01,52.59
2022-09-01,53.64
2022-10-02,53.11
2022-11-01,52.52
2022-12-02,53.01
2023-01-01,53.07
2023-02-01,54.83
2023-03-04,55.13
2023-04-01,55.25
2023-05-02,54.94
2023-06-01,51.43
2023-07-02,51.40
2023-08-01,52.99
2023-09-01,53.50
2023-10-02,52.59
2023-11-01,57.05
2023-12-02,59.69
2024-01-01,59.99
2024-02-01,60.80
2024-03-03,59.66
2024-04-01,54.53
2024-05-02,58.92
2024-06-01,56.45
2024-07-02,54.40
2024-08-01,57.62
2024-09-01,57.48
2024-10-02,56.61
2024-11-01,53.41
2024-12-02,52.15
2025-01-01,47.97
